	rho	fdr	rank	percentile
GO_0042417|dopamine metabolic process	-0.1441564103072876	1.0	1625	0.20471151423532377
GO_0002920|regulation of humoral immune response	-0.14385121268652556	1.0	1626	0.20483749055177627
GO_0043616|keratinocyte proliferation	-0.14377703600532676	1.0	1627	0.20496346686822878
GO_0055085|transmembrane transport	-0.14372380925838182	1.0	1628	0.20508944318468128
IGLESIAS_E2F_TARGETS_UP	-0.14355777025517935	1.0	1629	0.20521541950113378
ZHENG_RESPONSE_TO_ARSENITE_UP	-0.14350941068084141	1.0	1630	0.2053413958175863
REACTOME_TIGHT_JUNCTION_INTERACTIONS	-0.14348179635830072	1.0	1631	0.2054673721340388
DAUER_STAT3_TARGETS_UP	-0.143406606646976	1.0	1632	0.20559334845049132
LUDWICZEK_TREATING_IRON_OVERLOAD	-0.1433770046876334	1.0	1633	0.20571932476694382
HALLMARK_BILE_ACID_METABOLISM	-0.1433261842032719	1.0	1634	0.20584530108339633
DORSEY_GAB2_TARGETS	-0.14313201085397084	1.0	1635	0.20597127739984883
GO_NEUROPEPTIDE_SIGNALING_PATHWAY	-0.1430813217264039	1.0	1636	0.20609725371630133
BIOCARTA_THELPER_PATHWAY	-0.14293273261443215	1.0	1637	0.20622323003275383
BOYLAN_MULTIPLE_MYELOMA_C_CLUSTER_DN	-0.14292779953838458	1.0	1638	0.20634920634920634
CHUNG_BLISTER_CYTOTOXICITY_UP	-0.14286658439182703	1.0	1639	0.20647518266565887
GO_0019218|regulation of steroid metabolic process	-0.14284790711271977	1.0	1640	0.20660115898211137
SASAKI_TARGETS_OF_TP73_AND_TP63	-0.14283491244589847	1.0	1641	0.20672713529856387
GO_0055072|iron ion homeostasis	-0.14282971509421566	1.0	1642	0.20685311161501638
FIGUEROA_AML_METHYLATION_CLUSTER_5_DN	-0.14275697833860887	1.0	1643	0.20697908793146888
HOFFMANN_SMALL_PRE_BII_TO_IMMATURE_B_LYMPHOCYTE_DN	-0.1427484731395075	1.0	1644	0.20710506424792138
NAGASHIMA_NRG1_SIGNALING_UP	-0.142662929854112	1.0	1645	0.2072310405643739
HOLLEMAN_ASPARAGINASE_RESISTANCE_ALL_UP	-0.1426460206248447	1.0	1646	0.20735701688082642
GO_0032225|regulation of synaptic transmission, dopaminergic	-0.1425334943893323	1.0	1647	0.20748299319727892
GO_0051085|chaperone mediated protein folding requiring cofactor	-0.14249799833293053	1.0	1648	0.20760896951373142
ISHIDA_TARGETS_OF_SYT_SSX_FUSIONS	-0.14224761884747467	1.0	1649	0.20773494583018393
TESAR_ALK_AND_JAK_TARGETS_MOUSE_ES_D4_DN	-0.14224274996976788	1.0	1650	0.20786092214663643
ELVIDGE_HYPOXIA_BY_DMOG_DN	-0.1420836845207107	1.0	1651	0.20798689846308893
YANG_BREAST_CANCER_ESR1_BULK_UP	-0.14208112975253073	1.0	1652	0.20811287477954143
GERHOLD_ADIPOGENESIS_DN	-0.14192798640273804	1.0	1653	0.20823885109599397
IL15_UP.V1_UP	-0.14172216385527503	1.0	1654	0.20836482741244647
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	-0.1417215251655952	1.0	1655	0.20849080372889897
MARIADASON_RESPONSE_TO_BUTYRATE_CURCUMIN_SULINDAC_TSA_2	-0.14171635427824292	1.0	1656	0.20861678004535147
GO_0015980|energy derivation by oxidation of organic compounds	-0.1416038335702266	1.0	1657	0.20874275636180398
CHESLER_BRAIN_QTL_CIS	-0.14154630573708774	1.0	1658	0.20886873267825648
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	-0.14144492176889017	1.0	1659	0.20899470899470898
GYORFFY_DOXORUBICIN_RESISTANCE	-0.14129464770260658	1.0	1660	0.2091206853111615
NING_CHRONIC_OBSTRUCTIVE_PULMONARY_DISEASE_UP	-0.14114151550239343	1.0	1661	0.20924666162761402
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	-0.14113177889248307	1.0	1662	0.20937263794406652
GO_0045621|positive regulation of lymphocyte differentiation	-0.14101442389734334	1.0	1663	0.20949861426051902
HORIUCHI_WTAP_TARGETS_UP	-0.14094832805983268	1.0	1664	0.20962459057697153
BIOCARTA_DC_PATHWAY	-0.14092717031077484	1.0	1665	0.20975056689342403
GO_0042537|benzene and derivative metabolic process	-0.1407199090597397	1.0	1666	0.20987654320987653
GO_0009583|detection of light stimulus	-0.14068961317928397	1.0	1667	0.21000251952632906
PID_FOXM1_PATHWAY	-0.14067851597814274	1.0	1668	0.21012849584278157
GO_0009566|fertilization	-0.14051749134027278	1.0	1669	0.21025447215923407
MIKKELSEN_ES_LCP_WITH_H3K27ME3	-0.14049484092521444	1.0	1670	0.21038044847568657
GO_0043627|response to estrogen stimulus	-0.14031254012835642	1.0	1671	0.21050642479213907
AMIT_EGF_RESPONSE_60_MCF10A	-0.1402372447799549	1.0	1672	0.21063240110859158
GO_0008033|tRNA processing	-0.13990706420050697	1.0	1673	0.21075837742504408
LIU_CDX2_TARGETS_UP	-0.13958490654740552	1.0	1674	0.2108843537414966
ZHENG_IL22_SIGNALING_UP	-0.13947721807974733	1.0	1675	0.2110103300579491
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_UP	-0.13934964993425664	1.0	1676	0.21113630637440162
GO_0002714|positive regulation of B cell mediated immunity	-0.13932054200920058	1.0	1677	0.21126228269085412
GO_0002891|positive regulation of immunoglobulin mediated immune response	-0.13932054200920058	1.0	1678	0.21138825900730662
ESC_J1_UP_LATE.V1_DN	-0.13931003935594516	1.0	1679	0.21151423532375913
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_4	-0.13916442135401125	1.0	1680	0.21164021164021163
LAIHO_COLORECTAL_CANCER_SERRATED_UP	-0.13910084664005307	1.0	1681	0.21176618795666416
XU_AKT1_TARGETS_48HR	-0.1390945331018842	1.0	1682	0.21189216427311666
GO_0010038|response to metal ion	-0.1390806964708232	1.0	1683	0.21201814058956917
GO_0006801|superoxide metabolic process	-0.1388232032217753	1.0	1684	0.21214411690602167
CHAN_INTERFERON_PRODUCING_DENDRITIC_CELL	-0.13872941736111932	1.0	1685	0.21227009322247417
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_AND_BRAIN_QTL_CIS	-0.13868007240510605	1.0	1686	0.21239606953892667
GERY_CEBP_TARGETS	-0.13867010444152142	1.0	1687	0.21252204585537918
BOYAULT_LIVER_CANCER_SUBCLASS_G3_DN	-0.13859772913878524	1.0	1688	0.2126480221718317
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN	-0.13853865736550064	1.0	1689	0.2127739984882842
NABA_SECRETED_FACTORS	-0.1384154523623181	1.0	1690	0.2128999748047367
MATZUK_SPERMATID_DIFFERENTIATION	-0.13818227303574332	1.0	1691	0.21302595112118922
GRADE_METASTASIS_DN	-0.13817344591835498	1.0	1692	0.21315192743764172
BROWNE_HCMV_INFECTION_18HR_DN	-0.13809752971399125	1.0	1693	0.21327790375409422
REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS	-0.13806475494656034	1.0	1694	0.21340388007054673
AMIT_EGF_RESPONSE_240_MCF10A	-0.13794081459144394	1.0	1695	0.21352985638699926
DELACROIX_RARG_BOUND_MEF	-0.13784508057633188	1.0	1696	0.21365583270345176
MARTORIATI_MDM4_TARGETS_NEUROEPITHELIUM_UP	-0.13778247516700362	1.0	1697	0.21378180901990426
GO_0001776|leukocyte homeostasis	-0.13774890336964135	1.0	1698	0.21390778533635676
KOYAMA_SEMA3B_TARGETS_UP	-0.13757383456914363	1.0	1699	0.21403376165280927
PID_CONE_PATHWAY	-0.1374973558760494	1.0	1700	0.21415973796926177
DASU_IL6_SIGNALING_SCAR_DN	-0.13748980561533922	1.0	1701	0.21428571428571427
WANG_RECURRENT_LIVER_CANCER_DN	-0.1373480466970583	1.0	1702	0.2144116906021668
GO_0009948|anterior/posterior axis specification	-0.13733274702692472	1.0	1703	0.2145376669186193
XU_HGF_SIGNALING_NOT_VIA_AKT1_48HR_UP	-0.13728200582597272	1.0	1704	0.2146636432350718
SCIAN_CELL_CYCLE_TARGETS_OF_TP53_AND_TP73_UP	-0.13717991372106028	1.0	1705	0.2147896195515243
MCGARVEY_SILENCED_BY_METHYLATION_IN_COLON_CANCER	-0.13713252901122347	1.0	1706	0.21491559586797682
REACTOME_P2Y_RECEPTORS	-0.13702850283295065	1.0	1707	0.21504157218442932
GO_NEURON_APOPTOTIC_PROCESS	-0.1369018681279232	1.0	1708	0.21516754850088182
PECE_MAMMARY_STEM_CELL_UP	-0.1368167868882222	1.0	1709	0.21529352481733435
KRAS.KIDNEY_UP.V1_DN	-0.13673971511412955	1.0	1710	0.21541950113378686
STEGER_ADIPOGENESIS_UP	-0.1365532216811157	1.0	1711	0.21554547745023936
MANN_RESPONSE_TO_AMIFOSTINE_DN	-0.13614604766263286	1.0	1712	0.21567145376669186
MAHADEVAN_RESPONSE_TO_MP470_DN	-0.13600899531414198	1.0	1713	0.21579743008314436
GO_0008209|androgen metabolic process	-0.13588717747111947	1.0	1714	0.21592340639959687
BRUNO_HEMATOPOIESIS	-0.13572302103455147	1.0	1715	0.21604938271604937
MIKKELSEN_NPC_WITH_LCP_H3K27ME3	-0.13567947884586723	1.0	1716	0.2161753590325019
NEUROENDOCRINE_MONTORO	-0.13557608184547493	1.0	1717	0.2163013353489544
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_FLI1	-0.13533756199063418	1.0	1718	0.2164273116654069
GO_0045582|positive regulation of T cell differentiation	-0.13520391398258697	1.0	1719	0.2165532879818594
LANDIS_ERBB2_BREAST_PRENEOPLASTIC_DN	-0.13508931185929024	1.0	1720	0.2166792642983119
NIKOLSKY_BREAST_CANCER_19Q13.1_AMPLICON	-0.1350758984736539	1.0	1721	0.21680524061476442
BIOCARTA_NKT_PATHWAY	-0.1350480106576084	1.0	1722	0.21693121693121692
GROSS_HYPOXIA_VIA_ELK3_ONLY_UP	-0.1349696427965952	1.0	1723	0.21705719324766945
EGFR_UP.V1_UP	-0.13496264140837322	1.0	1724	0.21718316956412195
TSENG_IRS1_TARGETS_DN	-0.13491881496856375	1.0	1725	0.21730914588057446
AMIT_EGF_RESPONSE_40_MCF10A	-0.13483490777810966	1.0	1726	0.21743512219702696
PURBEY_TARGETS_OF_CTBP1_AND_SATB1_DN	-0.1348068856704199	1.0	1727	0.21756109851347946
CILIATED_ME18p5_GENES_LG	-0.1346941156053409	1.0	1728	0.21768707482993196
ROVERSI_GLIOMA_COPY_NUMBER_UP	-0.13466172736557255	1.0	1729	0.21781305114638447
HATADA_METHYLATED_IN_LUNG_CANCER_UP	-0.1346454967807728	1.0	1730	0.217939027462837
GO_0009595|detection of biotic stimulus	-0.13459034954888335	1.0	1731	0.2180650037792895
BIOCARTA_NFKB_PATHWAY	-0.13458870110586948	1.0	1732	0.218190980095742
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN	-0.13455938545432042	1.0	1733	0.2183169564121945
GO_0032570|response to progesterone stimulus	-0.13423772996470326	1.0	1734	0.218442932728647
GO_0045055|regulated secretory pathway	-0.1342235596731478	1.0	1735	0.2185689090450995
GILDEA_METASTASIS	-0.13415781925681344	1.0	1736	0.21869488536155202
GO_0009148|pyrimidine nucleoside triphosphate biosynthetic process	-0.13414645383573687	1.0	1737	0.21882086167800455
GO_0018279|protein amino acid N-linked glycosylation via asparagine	-0.13410706479090545	1.0	1738	0.21894683799445705
GO_0018196|peptidyl-asparagine modification	-0.13410706479090545	1.0	1739	0.21907281431090955
PACHER_TARGETS_OF_IGF1_AND_IGF2_UP	-0.1338162974340051	1.0	1740	0.21919879062736206
CILIATED_ME18p5_TF_LG	-0.13365000558898282	1.0	1741	0.21932476694381456
MAHADEVAN_IMATINIB_RESISTANCE_DN	-0.13349658956394117	1.0	1742	0.21945074326026706
GO_0051954|positive regulation of amine transport	-0.13346852607210635	1.0	1743	0.21957671957671956
GO_0016053|organic acid biosynthetic process	-0.1334575939464038	1.0	1744	0.2197026958931721
GO_0046394|carboxylic acid biosynthetic process	-0.1334575939464038	1.0	1745	0.2198286722096246
GO_0006706|steroid catabolic process	-0.13320462171772288	1.0	1746	0.2199546485260771
WENG_POR_TARGETS_LIVER_UP	-0.13318139984027066	1.0	1747	0.2200806248425296
GO_0007339|binding of sperm to zona pellucida	-0.1330470945367249	1.0	1748	0.2202066011589821
GO_0035036|sperm-egg recognition	-0.1330470945367249	1.0	1749	0.2203325774754346
BIOCARTA_TCYTOTOXIC_PATHWAY	-0.13280648673286144	1.0	1750	0.2204585537918871
VANDESLUIS_NORMAL_EMBRYOS_UP	-0.13278575686993999	1.0	1751	0.22058453010833964
ZHAN_MULTIPLE_MYELOMA_HP_DN	-0.13277192555509465	1.0	1752	0.22071050642479215
MOOTHA_MITOCHONDRIA	-0.13266163853027313	1.0	1753	0.22083648274124465
REACTOME_TETRAHYDROBIOPTERIN_BH4_SYNTHESIS_RECYCLING_SALVAGE_AND_REGULATION	-0.13254161007813106	1.0	1754	0.22096245905769715
GO_0006692|prostanoid metabolic process	-0.13245911368527566	1.0	1755	0.22108843537414966
GO_0006693|prostaglandin metabolic process	-0.13245911368527566	1.0	1756	0.22121441169060216
CHEN_ETV5_TARGETS_SERTOLI	-0.1323730056504442	1.0	1757	0.22134038800705466
NGO_MALIGNANT_GLIOMA_1P_LOH	-0.13231635135576603	1.0	1758	0.2214663643235072
GO_0032675|regulation of interleukin-6 production	-0.13226931613508186	1.0	1759	0.2215923406399597
MAGRANGEAS_MULTIPLE_MYELOMA_IGLL_VS_IGLK_DN	-0.1322359755414939	1.0	1760	0.2217183169564122
GO_0009988|cell-cell recognition	-0.13196684317575583	1.0	1761	0.2218442932728647
GO_0032731|positive regulation of interleukin-1 beta production	-0.1318378030011729	1.0	1762	0.2219702695893172
GO_0021544|subpallium development	-0.13182588591430425	1.0	1763	0.2220962459057697
PDGF_ERK_DN.V1_DN	-0.13160004015815563	1.0	1764	0.2222222222222222
MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_DN	-0.13132752700886918	1.0	1765	0.22234819853867474
WU_CELL_MIGRATION	-0.13123343731260234	1.0	1766	0.22247417485512724
NIKOLSKY_BREAST_CANCER_20Q11_AMPLICON	-0.13115163382625575	1.0	1767	0.22260015117157975
GO_0042058|regulation of epidermal growth factor receptor signaling pathway	-0.13092918623341246	1.0	1768	0.22272612748803225
GO_0034612|response to tumor necrosis factor	-0.1308145692011118	1.0	1769	0.22285210380448475
BIOCARTA_INTRINSIC_PATHWAY	-0.13077808659721168	1.0	1770	0.22297808012093726
GO_0006525|arginine metabolic process	-0.13077072939580053	1.0	1771	0.22310405643738976
GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_UP	-0.13072881424073163	1.0	1772	0.2232300327538423
GO_0051592|response to calcium ion	-0.13067152411790137	1.0	1773	0.2233560090702948
GO_0050865|regulation of cell activation	-0.13062023896652464	1.0	1774	0.2234819853867473
GO_0046131|pyrimidine ribonucleoside metabolic process	-0.1306128034072811	1.0	1775	0.2236079617031998
GO_0042475|odontogenesis of dentine-containing tooth	-0.13056657450109566	1.0	1776	0.2237339380196523
NUTT_GBM_VS_AO_GLIOMA_UP	-0.1305363577211902	1.0	1777	0.2238599143361048
GO_0006656|phosphatidylcholine biosynthetic process	-0.13041295173418174	1.0	1778	0.2239858906525573
REACTOME_DOWNSTREAM_TCR_SIGNALING	-0.1303801456289002	1.0	1779	0.22411186696900984
BORLAK_LIVER_CANCER_EGF_UP	-0.13019033716679693	1.0	1780	0.22423784328546234
FUJIWARA_PARK2_IN_LIVER_CANCER_UP	-0.1300862773391693	1.0	1781	0.22436381960191484
MCCLUNG_CREB1_TARGETS_UP	-0.13001390492909146	1.0	1782	0.22448979591836735
GO_0051084|'de novo' posttranslational protein folding	-0.12981062265677545	1.0	1783	0.22461577223481985
GO_0042036|negative regulation of cytokine biosynthetic process	-0.12976613843320503	1.0	1784	0.22474174855127235
GO_0045768|positive regulation of anti-apoptosis	-0.12973285904058252	1.0	1785	0.22486772486772486
CLUB_ME18p5_TF_LG	-0.1296552261895057	1.0	1786	0.22499370118417739
GO_0002886|regulation of myeloid leukocyte mediated immunity	-0.12963685149562956	1.0	1787	0.2251196775006299
GAVIN_PDE3B_TARGETS	-0.12961319659406237	1.0	1788	0.2252456538170824
GO_0008582|regulation of synaptic growth at neuromuscular junction	-0.12933918394750732	1.0	1789	0.2253716301335349
REACTOME_ACTIVATED_POINT_MUTANTS_OF_FGFR2	-0.1293380097709015	1.0	1790	0.2254976064499874
GO_0043603|cellular amide metabolic process	-0.129136002250929	1.0	1791	0.2256235827664399
GO_0051282|regulation of sequestering of calcium ion	-0.12903671211314222	1.0	1792	0.2257495590828924
GO_0051209|release of sequestered calcium ion into cytosol	-0.12903671211314222	1.0	1793	0.22587553539934493
GO_0051283|negative regulation of sequestering of calcium ion	-0.12903671211314222	1.0	1794	0.22600151171579744
GO_0006103|2-oxoglutarate metabolic process	-0.12884098162756338	1.0	1795	0.22612748803224994
AEC2_ME18p5_GENES_LG	-0.1288381361871098	1.0	1796	0.22625346434870244
MEISSNER_NPC_ICP_WITH_H3_UNMETHYLATED	-0.12877370774649866	1.0	1797	0.22637944066515495
MOOTHA_HUMAN_MITODB_6_2002	-0.12868651414211077	1.0	1798	0.22650541698160745
ZHENG_FOXP3_TARGETS_UP	-0.12868147293886667	1.0	1799	0.22663139329805995
WEBER_METHYLATED_HCP_IN_SPERM_UP	-0.12858785381702084	1.0	1800	0.22675736961451248
HALLMARK_UV_RESPONSE_UP	-0.1285262154536551	1.0	1801	0.22688334593096499
GRUETZMANN_PANCREATIC_CANCER_UP	-0.12847718776254774	1.0	1802	0.2270093222474175
REACTOME_REGULATION_OF_COMPLEMENT_CASCADE	-0.1284714574098059	1.0	1803	0.22713529856387
CAIRO_PML_TARGETS_BOUND_BY_MYC_DN	-0.12835499269929992	1.0	1804	0.2272612748803225
GO_0051051|negative regulation of transport	-0.1283161452028538	1.0	1805	0.227387251196775
HINATA_NFKB_TARGETS_FIBROBLAST_UP	-0.12827928229177554	1.0	1806	0.2275132275132275
HAN_JNK_SINGALING_DN	-0.12823980020461412	1.0	1807	0.22763920382968003
GO_0043330|response to exogenous dsRNA	-0.1281133600196647	1.0	1808	0.22776518014613253
P53_DN.V1_UP	-0.12807018251778923	1.0	1809	0.22789115646258504
GO_0045682|regulation of epidermis development	-0.12766243838287133	1.0	1810	0.22801713277903754
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_ERYTHROCYTE_DN	-0.12754549754035224	1.0	1811	0.22814310909549004
GO_0042742|defense response to bacterium	-0.12750231726370798	1.0	1812	0.22826908541194255
GO_0016236|macroautophagy	-0.12730856705476376	1.0	1813	0.22839506172839505
LINDGREN_BLADDER_CANCER_CLUSTER_2B	-0.12702893243023167	1.0	1814	0.22852103804484758
CHANDRAN_METASTASIS_DN	-0.12692446356403678	1.0	1815	0.22864701436130008
KRAS.DF.V1_UP	-0.12687787785801205	1.0	1816	0.22877299067775259
GO_0043524|negative regulation of neuron apoptosis	-0.12648256836021143	1.0	1817	0.2288989669942051
PID_SHP2_PATHWAY	-0.12629012306329934	1.0	1818	0.2290249433106576
BAFNA_MUC4_TARGETS_DN	-0.1262471456654539	1.0	1819	0.2291509196271101
HARRIS_HYPOXIA	-0.1261539304794537	1.0	1820	0.2292768959435626
TONG_INTERACT_WITH_PTTG1	-0.1261290992358884	1.0	1821	0.22940287226001513
CHO_NR4A1_TARGETS	-0.1260564075145295	1.0	1822	0.22952884857646763
REACTOME_NFKB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL	-0.12600348021055852	1.0	1823	0.22965482489292013
REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS	-0.12587537080091496	1.0	1824	0.22978080120937264
HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_DN	-0.12559185853174937	1.0	1825	0.22990677752582514
AUJLA_IL22_AND_IL17A_SIGNALING	-0.12547169502208755	1.0	1826	0.23003275384227764
GO_0051249|regulation of lymphocyte activation	-0.12520077075735103	1.0	1827	0.23015873015873015
PID_TCR_CALCIUM_PATHWAY	-0.125099959390727	1.0	1828	0.23028470647518268
REACTOME_SHC_MEDIATED_SIGNALLING	-0.12503930116467574	1.0	1829	0.23041068279163518
GO_0055093|response to hyperoxia	-0.12494941819970593	1.0	1830	0.23053665910808768
GO_0046456|icosanoid biosynthetic process	-0.12494555892575696	1.0	1831	0.23066263542454019
GO_0050878|regulation of body fluid levels	-0.1249346900541823	1.0	1832	0.2307886117409927
KUROKAWA_LIVER_CANCER_CHEMOTHERAPY_UP	-0.1249226796016022	1.0	1833	0.2309145880574452
BRCA1_DN.V1_UP	-0.12490269911738927	1.0	1834	0.2310405643738977
DASU_IL6_SIGNALING_UP	-0.12485251507378058	1.0	1835	0.23116654069035023
ALONSO_METASTASIS_UP	-0.12454915352350086	1.0	1836	0.23129251700680273
GO_0032651|regulation of interleukin-1 beta production	-0.1244309540548617	1.0	1837	0.23141849332325523
GO_0032104|regulation of response to extracellular stimulus	-0.12429251876393664	1.0	1838	0.23154446963970773
GO_0032107|regulation of response to nutrient levels	-0.12429251876393664	1.0	1839	0.23167044595616024
KOHOUTEK_CCNT2_TARGETS	-0.12413456042529099	1.0	1840	0.23179642227261274
SU_LIVER	-0.12405398125186795	1.0	1841	0.23192239858906524
GO_0008643|carbohydrate transport	-0.12400937050988642	1.0	1842	0.23204837490551777
GO_NON_CANONICAL_WNT_SIGNALING_PATHWAY	-0.12372936957928432	1.0	1843	0.23217435122197028
KARLSSON_TGFB1_TARGETS_DN	-0.12371366506756296	1.0	1844	0.23230032753842278
HALLMARK_NOTCH_SIGNALING	-0.1236055866539179	1.0	1845	0.23242630385487528
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN	-0.12355114663964063	1.0	1846	0.23255228017132779
ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	-0.1235133465895294	1.0	1847	0.2326782564877803
WIEMANN_TELOMERE_SHORTENING_AND_CHRONIC_LIVER_DAMAGE_DN	-0.12342578319064994	1.0	1848	0.2328042328042328
GO_0006835|dicarboxylic acid transport	-0.12319740924314403	1.0	1849	0.23293020912068532
GO_0009584|detection of visible light	-0.12306861538944835	1.0	1850	0.23305618543713782
GO_REGULATION_OF_CHOLESTEROL_EFFLUX	-0.12303191825444816	1.0	1851	0.23318216175359033
BOYLAN_MULTIPLE_MYELOMA_C_D_DN	-0.12271377985159752	1.0	1852	0.23330813807004283
GO_0045494|photoreceptor cell maintenance	-0.12262731239551354	1.0	1853	0.23343411438649533
KEGG_NITROGEN_METABOLISM	-0.12260925421224514	1.0	1854	0.23356009070294784
CAHOY_OLIGODENDROCUTIC	-0.12252181466404666	1.0	1855	0.23368606701940034
HEDENFALK_BREAST_CANCER_BRACX_UP	-0.12250957504421997	1.0	1856	0.23381204333585287
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_MONOCYTE_DN	-0.12243124679129948	1.0	1857	0.23393801965230537
GO_0046688|response to copper ion	-0.12242694648453482	1.0	1858	0.23406399596875788
WINTER_HYPOXIA_METAGENE	-0.12227431287993383	1.0	1859	0.23418997228521038
CHEN_HOXA5_TARGETS_6HR_UP	-0.12225324313119777	1.0	1860	0.23431594860166288
GO_0009147|pyrimidine nucleoside triphosphate metabolic process	-0.1221092926942718	1.0	1861	0.23444192491811539
ALK_DN.V1_UP	-0.12193520009363985	1.0	1862	0.2345679012345679
SHIPP_DLBCL_VS_FOLLICULAR_LYMPHOMA_UP	-0.12185992489073921	1.0	1863	0.23469387755102042
GO_0045980|negative regulation of nucleotide metabolic process	-0.12176011142446647	1.0	1864	0.23481985386747292
OXFORD_RALA_AND_RALB_TARGETS_DN	-0.12169281616890695	1.0	1865	0.23494583018392542
OZANNE_AP1_TARGETS_UP	-0.12152553741496913	1.0	1866	0.23507180650037793
GO_0055024|regulation of cardiac muscle tissue development	-0.12146561069998854	1.0	1867	0.23519778281683043
GO_0060043|regulation of cardiac muscle cell proliferation	-0.12146561069998854	1.0	1868	0.23532375913328293
GO_0055021|regulation of cardiac muscle growth	-0.12146561069998854	1.0	1869	0.23544973544973544
REACTOME_SOS_MEDIATED_SIGNALLING	-0.12138848453009701	1.0	1870	0.23557571176618797
GROSS_ELK3_TARGETS_UP	-0.12132379497408662	1.0	1871	0.23570168808264047
REACTOME_METABOLISM_OF_PORPHYRINS	-0.12103177818699368	1.0	1872	0.23582766439909297
CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP	-0.12088080926345003	1.0	1873	0.23595364071554548
GO_0042423|catecholamine biosynthetic process	-0.1207503379279475	1.0	1874	0.23607961703199798
GO_0045851|pH reduction	-0.12063599658150341	1.0	1875	0.23620559334845048
KEGG_ABC_TRANSPORTERS	-0.12061388840967727	1.0	1876	0.23633156966490299
GAUSSMANN_MLL_AF4_FUSION_TARGETS_A_DN	-0.12042113659689131	1.0	1877	0.23645754598135552
GO_0030104|water homeostasis	-0.12036405199885442	1.0	1878	0.23658352229780802
GO_0006879|cellular iron ion homeostasis	-0.12033822662160802	1.0	1879	0.23670949861426052
REACTOME_COMMON_PATHWAY	-0.12008604803551003	1.0	1880	0.23683547493071302
DER_IFN_BETA_RESPONSE_DN	-0.11961997488630151	1.0	1881	0.23696145124716553
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_GREY_UP	-0.11959849288878155	1.0	1882	0.23708742756361803
REACTOME_PEROXISOMAL_LIPID_METABOLISM	-0.11941650280766533	1.0	1883	0.23721340388007053
BIOCARTA_RAB_PATHWAY	-0.1192472129679137	1.0	1884	0.23733938019652306
CHOI_ATL_ACUTE_STAGE	-0.1192337023911751	1.0	1885	0.23746535651297557
BROWNE_HCMV_INFECTION_24HR_DN	-0.11919167847730615	1.0	1886	0.23759133282942807
ESC_V6.5_UP_EARLY.V1_DN	-0.11915217935430542	1.0	1887	0.23771730914588057
CARDOSO_RESPONSE_TO_GAMMA_RADIATION_AND_3AB	-0.11907247997544258	1.0	1888	0.23784328546233308
GO_0009218|pyrimidine ribonucleotide metabolic process	-0.11875795181845224	1.0	1889	0.23796926177878558
CHYLA_CBFA2T3_TARGETS_UP	-0.11862809893275589	1.0	1890	0.23809523809523808
GO_0055088|lipid homeostasis	-0.11862599101487002	1.0	1891	0.2382212144116906
GO_0006458|'de novo' protein folding	-0.11859876778988918	1.0	1892	0.23834719072814312
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_6	-0.11847312188758113	1.0	1893	0.23847316704459562
GO_0006637|acyl-CoA metabolic process	-0.11842967461231528	1.0	1894	0.23859914336104812
GO_NEGATIVE_REGULATION_OF_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	-0.11836781494226684	1.0	1895	0.23872511967750062
SCHOEN_NFKB_SIGNALING	-0.11820044088239401	1.0	1896	0.23885109599395313
WAKABAYASHI_ADIPOGENESIS_PPARG_BOUND_36HR	-0.11794532195652223	1.0	1897	0.23897707231040563
GO_0070663|regulation of leukocyte proliferation	-0.11783666664744295	1.0	1898	0.23910304862685816
GO_0032944|regulation of mononuclear cell proliferation	-0.11783666664744295	1.0	1899	0.23922902494331066
ZHAN_V1_LATE_DIFFERENTIATION_GENES_DN	-0.11760863181191149	1.0	1900	0.23935500125976317
GO_0006939|smooth muscle contraction	-0.11752508823770527	1.0	1901	0.23948097757621567
GO_0008210|estrogen metabolic process	-0.11749027991106029	1.0	1902	0.23960695389266817
