	primerid	Pr(>Chisq)	coef	ci.hi	ci.lo	fdr	gene	log2fc	pval	mean	score
MGST1	MGST1	1.7460972194571091e-279	0.68542370308622	0.725578203635014	0.645269202537426	4.138008671414168e-278	MGST1	0.68542370308622	1.7460972194571091e-279	1.20952	926.0138045857843
HLA-C	HLA-C	5.9353113665734575e-232	0.862119840704234	0.9075654047749359	0.8166742766335309	1.1127083727073194e-230	HLA-C	0.862119840704234	5.9353113665734575e-232	2.9622028	768.1179942982
HIST1H4C	HIST1H4C	9.789507688326855e-193	-0.8544304641535699	-0.799392644368802	-0.909468283938338	1.4303737005143593e-191	HIST1H4C	-0.8544304641535699	9.789507688326855e-193	2.4688907	-637.840886004348
FOS	FOS	5.584228265134506e-284	-0.9875869164364169	-0.9400190143304821	-1.03515481854235	1.3566138819218093e-282	FOS	-0.9875869164364169	5.584228265134506e-284	2.7720764	-940.9462210325653
RGS16	RGS16	1.737177924393889e-292	-0.617863697294709	-0.5928644455036209	-0.642862949085798	4.392888676311037e-291	RGS16	-0.617863697294709	1.737177924393889e-292	1.198676	-969.206258182483
WFDC2	WFDC2	2.5401027955819782e-300	-0.7617478083720921	-0.7260294506254241	-0.797466166118761	6.785703182483276e-299	WFDC2	-0.7617478083720921	2.5401027955819782e-300	1.9458339	-995.2335415835123
MTRNR2L8	MTRNR2L8	8.881141532767814e-303	-0.7187139214771271	-0.692018537121844	-0.74540930583241	2.4189968485762788e-301	MTRNR2L8	-0.7187139214771271	8.881141532767814e-303	1.0355886	-1003.393467626343
TNNT1	TNNT1	0.0	-0.6510907400727471	-0.641245672429391	-0.660935807716103	0.0	TNNT1	-0.6510907400727471	1e-323	0.68649834	-1073.0
STAT3	STAT3	0.0	-0.590656523874134	-0.568716795303837	-0.612596252444431	0.0	STAT3	-0.590656523874134	1e-323	1.0019631	-1073.0
SEZ6L2	SEZ6L2	0.0	-0.8024257199515692	-0.793306749811459	-0.811544690091678	0.0	SEZ6L2	-0.8024257199515692	1e-323	1.1371777	-1073.0
UQCC2	UQCC2	0.0	-0.9417089510713929	-0.9153125420176409	-0.9681053601251439	0.0	UQCC2	-0.9417089510713929	1e-323	1.4434067	-1073.0
TSPAN3	TSPAN3	0.0	-0.5877582222422729	-0.5683351173547789	-0.6071813271297671	0.0	TSPAN3	-0.5877582222422729	1e-323	0.89685535	-1073.0
S100A11	S100A11	0.0	-0.799022567233717	-0.7841102531884301	-0.813934881279004	0.0	S100A11	-0.799022567233717	1e-323	0.92577785	-1073.0
RBP1	RBP1	0.0	-1.26169497516646	-1.2444845199395	-1.2789054303934198	0.0	RBP1	-1.26169497516646	1e-323	1.3021413	-1073.0
TAGLN3	TAGLN3	0.0	-0.8742753919051001	-0.8584776350678441	-0.890073148742356	0.0	TAGLN3	-0.8742753919051001	1e-323	1.0111369	-1073.0
S100A13	S100A13	0.0	-0.670209738461816	-0.6590143783748629	-0.6814050985487691	0.0	S100A13	-0.670209738461816	1e-323	0.9516381	-1073.0
SH3BGRL3	SH3BGRL3	0.0	-0.829007370674091	-0.79505675304096	-0.8629579883072209	0.0	SH3BGRL3	-0.829007370674091	1e-323	1.9154528	-1073.0
SEPW1	SEPW1	0.0	-0.789061564964559	-0.75324644980399	-0.824876680125129	0.0	SEPW1	-0.789061564964559	1e-323	2.578046	-1073.0
S100A6	S100A6	0.0	-1.6854353568216598	-1.66924341999831	-1.70162729364501	0.0	S100A6	-1.6854353568216598	1e-323	2.225546	-1073.0
SOX2	SOX2	0.0	-0.7288553070121341	-0.718478990861925	-0.7392316231623441	0.0	SOX2	-0.7288553070121341	1e-323	0.73696977	-1073.0
SYT1	SYT1	0.0	-0.8885249165932361	-0.8782094373554449	-0.898840395831027	0.0	SYT1	-0.8885249165932361	1e-323	1.1511582	-1073.0
RTN1	RTN1	0.0	-0.7242945989450671	-0.7121172122143491	-0.7364719856757841	0.0	RTN1	-0.7242945989450671	1e-323	0.628609	-1073.0
SCG3	SCG3	0.0	-1.23276204155833	-1.22246220614002	-1.24306187697664	0.0	SCG3	-1.23276204155833	1e-323	1.7036144	-1073.0
TMEM205	TMEM205	0.0	-0.6706083242128641	-0.6523253965111719	-0.688891251914556	0.0	TMEM205	-0.6706083242128641	1e-323	1.1641309	-1073.0
SEC11C	SEC11C	0.0	-1.5405122574614099	-1.49545586403234	-1.5855686508904698	0.0	SEC11C	-1.5405122574614099	1e-323	3.8312886	-1073.0
TBCB	TBCB	0.0	-0.9264760623466609	-0.896009638596631	-0.9569424860966909	0.0	TBCB	-0.9264760623466609	1e-323	1.7799385	-1073.0
KDELR1	KDELR1	0.0	-0.889296649638075	-0.8590640108980779	-0.9195292883780721	0.0	KDELR1	-0.889296649638075	1e-323	1.6444244	-1073.0
RABAC1	RABAC1	0.0	-0.690595733280913	-0.6644488540728001	-0.7167426124890259	0.0	RABAC1	-0.690595733280913	1e-323	1.4979818	-1073.0
QPCT	QPCT	0.0	-0.706456723634511	-0.6950664822044	-0.717846965064621	0.0	QPCT	-0.706456723634511	1e-323	0.63285136	-1073.0
ELAVL3	ELAVL3	0.0	-0.8065259547939259	-0.7960221312209269	-0.817029778366924	0.0	ELAVL3	-0.8065259547939259	1e-323	0.76557875	-1073.0
EID1	EID1	0.0	-0.638561869289081	-0.6061519196050129	-0.670971818973149	0.0	EID1	-0.638561869289081	1e-323	1.9216588	-1073.0
EEF1A2	EEF1A2	0.0	-0.8118634596233649	-0.799837835933589	-0.823889083313141	0.0	EEF1A2	-0.8118634596233649	1e-323	0.816195	-1073.0
DLK1	DLK1	0.0	-0.8527260229682321	-0.8368722269923601	-0.868579818944104	0.0	DLK1	-0.8527260229682321	1e-323	0.9226781	-1073.0
CYBA	CYBA	0.0	-0.753730717038621	-0.7357479628217142	-0.7717134712555279	0.0	CYBA	-0.753730717038621	1e-323	1.3036157	-1073.0
CST3	CST3	0.0	-0.9495832225463209	-0.916566641469832	-0.9825998036228101	0.0	CST3	-0.9495832225463209	1e-323	2.1466131	-1073.0
CRMP1	CRMP1	0.0	-0.859955133512515	-0.8506558817617421	-0.869254385263288	0.0	CRMP1	-0.859955133512515	1e-323	0.94971585	-1073.0
CRIP2	CRIP2	0.0	-0.8738494215456272	-0.8634642736230519	-0.884234569468201	0.0	CRIP2	-0.8738494215456272	1e-323	1.4394765	-1073.0
CPE	CPE	0.0	-1.3910287481088999	-1.37634236044981	-1.4057151357679998	0.0	CPE	-1.3910287481088999	1e-323	1.7918944	-1073.0
COTL1	COTL1	0.0	-1.01537022575745	-0.9847383188345921	-1.04600213268031	0.0	COTL1	-1.01537022575745	1e-323	1.2724551	-1073.0
CLDN4	CLDN4	0.0	-0.9986742556582059	-0.986079868906688	-1.01126864240972	0.0	CLDN4	-0.9986742556582059	1e-323	1.2575535	-1073.0
CHGB	CHGB	0.0	-0.832800902047207	-0.819330989442639	-0.8462708146517751	0.0	CHGB	-0.832800902047207	1e-323	1.5582173	-1073.0
CHGA	CHGA	0.0	-1.31173918162633	-1.29580528825252	-1.32767307500014	0.0	CHGA	-1.31173918162633	1e-323	2.5480964	-1073.0
CHD7	CHD7	0.0	-0.83866132891902	-0.8297944598866421	-0.8475281979513979	0.0	CHD7	-0.83866132891902	1e-323	0.86978513	-1073.0
CELF4	CELF4	0.0	-0.665552295725004	-0.656028337006827	-0.6750762544431801	0.0	CELF4	-0.665552295725004	1e-323	0.73966116	-1073.0
CD63	CD63	0.0	-1.32887589100057	-1.29282369256404	-1.36492808943709	0.0	CD63	-1.32887589100057	1e-323	2.7526867	-1073.0
CBX1	CBX1	0.0	-0.588714877347623	-0.557518698827167	-0.619911055868078	0.0	CBX1	-0.588714877347623	1e-323	1.3103238	-1073.0
CALM1	CALM1	0.0	-0.731527021388769	-0.6992760558699741	-0.7637779869075642	0.0	CALM1	-0.731527021388769	1e-323	3.3926227	-1073.0
CADM1	CADM1	0.0	-0.7588777344985741	-0.7434112218411079	-0.7743442471560401	0.0	CADM1	-0.7588777344985741	1e-323	1.0880597	-1073.0
CACNA1A	CACNA1A	0.0	-0.9851367593263041	-0.9715027203534609	-0.998770798299146	0.0	CACNA1A	-0.9851367593263041	1e-323	0.92395025	-1073.0
C3ORF14	C3ORF14	0.0	-0.634906012636322	-0.61798962847328	-0.6518223967993649	0.0	C3ORF14	-0.634906012636322	1e-323	1.0644436	-1073.0
C12ORF75	C12ORF75	0.0	-0.6621056964905	-0.635563508437819	-0.688647884543181	0.0	C12ORF75	-0.6621056964905	1e-323	1.1724045	-1073.0
BEX2	BEX2	0.0	-0.591018518761769	-0.558593849555166	-0.623443187968371	0.0	BEX2	-0.591018518761769	1e-323	1.5569336	-1073.0
BEX1	BEX1	0.0	-2.0188414327903996	-2.00896924507373	-2.02871362050708	0.0	BEX1	-2.0188414327903996	1e-323	2.282031	-1073.0
ATP1B1	ATP1B1	0.0	-0.7650386864706591	-0.7430356273646981	-0.78704174557662	0.0	ATP1B1	-0.7650386864706591	1e-323	1.2030982	-1073.0
ASCL1	ASCL1	0.0	-1.5190525668456	-1.50244065138401	-1.53566448230719	0.0	ASCL1	-1.5190525668456	1e-323	2.016957	-1073.0
ARL4C	ARL4C	0.0	-0.600398748433327	-0.578597028918437	-0.622200467948216	0.0	ARL4C	-0.600398748433327	1e-323	0.87100774	-1073.0
ARC	ARC	0.0	-0.605506733524135	-0.5909673336843381	-0.620046133363933	0.0	ARC	-0.605506733524135	1e-323	0.82424104	-1073.0
AES	AES	0.0	-0.850650201944976	-0.81811355663229	-0.8831868472576619	0.0	AES	-0.850650201944976	1e-323	1.9935611	-1073.0
FAM213A	FAM213A	0.0	-0.8020469220903821	-0.77150045583289	-0.832593388347874	0.0	FAM213A	-0.8020469220903821	1e-323	1.405664	-1073.0
GADD45A	GADD45A	0.0	-0.838108355723727	-0.8222536833376709	-0.8539630281097841	0.0	GADD45A	-0.838108355723727	1e-323	1.2664082	-1073.0
GADD45G	GADD45G	0.0	-0.889899841623358	-0.875358380635318	-0.904441302611398	0.0	GADD45G	-0.889899841623358	1e-323	1.1675363	-1073.0
MIAT	MIAT	0.0	-0.673224753942112	-0.6623988575727751	-0.6840506503114491	0.0	MIAT	-0.673224753942112	1e-323	0.6079381	-1073.0
PSAP	PSAP	0.0	-0.6800288432779039	-0.658560012490393	-0.701497674065415	0.0	PSAP	-0.6800288432779039	1e-323	1.2563094	-1073.0
PLP2	PLP2	0.0	-0.600986077427924	-0.575384745544008	-0.62658740931184	0.0	PLP2	-0.600986077427924	1e-323	1.3789284	-1073.0
PLD3	PLD3	0.0	-0.6245041441186949	-0.6094733534051621	-0.639534934832228	0.0	PLD3	-0.6245041441186949	1e-323	0.95775265	-1073.0
PKIB	PKIB	0.0	-0.7375642606854251	-0.725799319437468	-0.7493292019333821	0.0	PKIB	-0.7375642606854251	1e-323	0.80166936	-1073.0
PEG10	PEG10	0.0	-0.9672029446374549	-0.936160985190241	-0.998244904084669	0.0	PEG10	-0.9672029446374549	1e-323	1.4168007	-1073.0
PCSK1N	PCSK1N	0.0	-1.1447958232109199	-1.10782361202341	-1.18176803439843	0.0	PCSK1N	-1.1447958232109199	1e-323	1.5615828	-1073.0
PCP4	PCP4	0.0	-0.8156749740406241	-0.794480663873508	-0.836869284207741	0.0	PCP4	-0.8156749740406241	1e-323	1.0648112	-1073.0
NRXN1	NRXN1	0.0	-0.593953669511652	-0.57729529243837	-0.610612046584934	0.0	NRXN1	-0.593953669511652	1e-323	0.7495542	-1073.0
NKX2-1	NKX2-1	0.0	-0.6444309650660369	-0.634917286197355	-0.653944643934719	0.0	NKX2-1	-0.6444309650660369	1e-323	0.7441457	-1073.0
NEUROD1	NEUROD1	0.0	-0.6240493600044771	-0.612447815618807	-0.6356509043901469	0.0	NEUROD1	-0.6240493600044771	1e-323	0.6491119	-1073.0
NDUFB1	NDUFB1	0.0	-0.638498368811856	-0.6059688186129649	-0.6710279190107471	0.0	NDUFB1	-0.638498368811856	1e-323	1.708662	-1073.0
NDUFA1	NDUFA1	0.0	-0.6278609871774671	-0.5981985602951011	-0.657523414059833	0.0	NDUFA1	-0.6278609871774671	1e-323	2.2420251	-1073.0
NCAM1	NCAM1	0.0	-0.673472566981402	-0.66417505352271	-0.682770080440093	0.0	NCAM1	-0.673472566981402	1e-323	0.6446368	-1073.0
MEST	MEST	0.0	-0.94359942987112	-0.9156349833183679	-0.9715638764238721	0.0	MEST	-0.94359942987112	1e-323	1.3219221	-1073.0
GKAP1	GKAP1	0.0	-0.598710325633882	-0.579138202535227	-0.6182824487325369	0.0	GKAP1	-0.598710325633882	1e-323	0.8157469	-1073.0
MEG3	MEG3	0.0	-0.6574072918222671	-0.6442095272324629	-0.670605056412071	0.0	MEG3	-0.6574072918222671	1e-323	0.9475583	-1073.0
MAP1B	MAP1B	0.0	-1.6029373673404	-1.5904185205198202	-1.6154562141609699	0.0	MAP1B	-1.6029373673404	1e-323	1.6326487	-1073.0
LAPTM4A	LAPTM4A	0.0	-0.742889954503696	-0.715798707727067	-0.7699812012803249	0.0	LAPTM4A	-0.742889954503696	1e-323	1.3480874	-1073.0
KRT19	KRT19	0.0	-0.753404188042586	-0.7411231816615258	-0.765685194423646	0.0	KRT19	-0.753404188042586	1e-323	0.73219347	-1073.0
AC090498.1	AC090498.1	0.0	-0.667203845240614	-0.637941296744076	-0.6964663937371519	0.0	AC090498.1	-0.667203845240614	1e-323	1.4754245	-1073.0
INSM1	INSM1	0.0	-1.40058907161684	-1.38820848416222	-1.41296965907147	0.0	INSM1	-1.40058907161684	1e-323	1.3261032	-1073.0
IGFBP5	IGFBP5	0.0	-1.10838527286425	-1.09040641701672	-1.12636412871177	0.0	IGFBP5	-1.10838527286425	1e-323	1.1644918	-1073.0
IGFBP2	IGFBP2	0.0	-1.9631202041698799	-1.9167315675690901	-2.00950884077068	0.0	IGFBP2	-1.9631202041698799	1e-323	3.1081913	-1073.0
ID4	ID4	0.0	-0.999014569935144	-0.9771772438019691	-1.02085189606832	0.0	ID4	-0.999014569935144	1e-323	1.5258347	-1073.0
HSPB1	HSPB1	0.0	-1.3450053762471599	-1.30287700230135	-1.3871337501929701	0.0	HSPB1	-1.3450053762471599	1e-323	2.354956	-1073.0
HES6	HES6	0.0	-1.27694013413727	-1.23523880618053	-1.31864146209402	0.0	HES6	-1.27694013413727	1e-323	2.803822	-1073.0
GRP	GRP	0.0	-1.43471037638946	-1.41693614106673	-1.45248461171219	0.0	GRP	-1.43471037638946	1e-323	2.4117696	-1073.0
GPX1	GPX1	0.0	-0.589049738345056	-0.5617316392936179	-0.616367837396494	0.0	GPX1	-0.589049738345056	1e-323	1.4908099	-1073.0
ZNF428	ZNF428	0.0	-0.774556612550692	-0.74365063803773	-0.805462587063654	0.0	ZNF428	-0.774556612550692	1e-323	1.6079695	-1073.0
